model,dsc_int,hd95_int,assd_int,dsc_ext,hd95_ext,assd_ext,delta_dsc,delta_hd95,delta_assd
MANet MiT-b3,0.9808409774391784,0.9666666666666666,0.7170623154525855,0.9822244325287081,1.0,0.4134996718083489,-0.0013834550895296394,0.03333333333333344,-0.3035626436442366
SegFormer MiT-b3,0.967272291717754,1.8304737854124364,0.9901713695595775,0.9623030795502622,1.5441176470588236,0.7884380024279395,0.004969212167491799,-0.28635613835361284,-0.20173336713163803
U-Net MobileNetV2,0.9541561002498742,2.747505659270505,1.1722185002872902,0.9401833659897427,2.2794117647058822,0.9431831540158087,0.013972734260131459,-0.4680938945646229,-0.2290353462714816
U-Net MiT-b3,0.9830327584095763,1.0,0.6258253636257342,0.9685356014149635,1.3676470588235294,0.5782986025540574,0.014497156994612737,0.36764705882352944,-0.04752676107167675
ResUNet,0.9656532292473703,1.9,1.016394829239854,0.9337648890708214,2.323529411764706,1.21098109209796,0.031888340176548846,0.42352941176470615,0.1945862628581061
